Gene	IM-day2	Day2-day4	Day4-day8
AT1G66830	3.05238333333333	-1.83993	2.43082333333333
AT1G66852	1.91898	0	0
AT1G66870	3.30922	0	4.99998
AT1G66880	3.9252675	-3.3660825	0
AT1G66920	10.682025	2.372255	4.21176
AT1G67100	3.54213	0	3.99976
AT1G67260	-1.99524	0	-2.90090666666667
AT1G67265	-4.58917	0	0
AT1G67370	-2.1861	0	0
AT1G67560	-1.92603	0	0
AT1G67630	-1.84188	0	0
AT1G67640	-7.30795	0	0
AT1G67750	-3.72032	0	0
AT1G67760	-3.95345	0	0
AT1G67770	-3.22392	0	-3.0478
AT1G67810	5.03853	-4.83546	7.02461
AT1G67920	13.76454	-8.06351	4.63049
AT1G67980	27.97374	-3.27859	13.71344
AT1G68320	2.16610666666667	-1.87838666666667	-4.18455333333333
AT1G68330	1.93001	0	0
AT1G68350	2.04996	0	3.5696
AT1G68390	4.6821	-1.91214	0
AT1G68450	4.80802	-9.35161	5.87996
AT1G68480	12.9033033333333	3.038265	0
AT1G68510	-2.24061333333333	0	-2.37137333333333
AT1G68520	-2.43662666666667	0	0
AT1G68585	2.11853	0	0
AT1G68620	5.23137	0	10.16033
AT1G68760	-1.8015	0	0
AT1G68765	41.31514	-18.8089	0
AT1G68780	2.25062	4.11958	0
AT1G68825	3.85902	0	-4.3064
AT1G68840	77.9129166666667	-6.82156333333333	2.95281
AT1G68870	-3.69662	0	0
AT1G69080	-2.24752	0	0
AT1G69230	4.49423	0	0
AT1G69480	-2.20138	0	3.92466
AT1G69490	2.82336666666667	0	6.33676
AT1G69540	-4.81103	0	0
AT1G69550	1.81889	0	0
AT1G69572	-4.49735	0	3.1602
AT1G69587	-2.10963	0	0
AT1G69690	-2.24705666666667	1.81697	0
AT1G69780	-2.63807	0	0
AT1G69790	3.98219666666667	-2.12163666666667	3.09176666666667
AT1G69810	3.05328	0	3.26637
AT1G69820	-2.7005	0	0
AT1G69880	2.23862	-1.83993	104.75367
AT1G69890	2.90772	-2.45	2.27355
AT1G69920	88.73678	-11.99984	0
AT1G69930	133.91512	-9.47451	2.07268
AT1G69970	-2.56216	0	0
AT1G70000	1.991565	0	0
AT1G70020	-2.74801	0	5.8347
AT1G70220	-2.34551	0	0
AT1G70270	-9.35172	2.7869	3.60017
AT1G70290	2.08822	0	0
AT1G70410	2.57524	-1.89231	2.388845
AT1G70430	-2.72675333333333	0	0
AT1G70440	3.07871	0	6.82504
AT1G70490	-2.1282	0	0
AT1G70530	2.38976666666667	0	0
AT1G70581	2.17679	0	0
AT1G70700	2.24033	0	2.01959
AT1G70780	1.91671	0	2.76272
AT1G70800	2.57175	0	2.85902
AT1G70810	1.9742	0	0
AT1G70850	-2.06814	0	0
AT1G70870	-2.86177	0	0
AT1G70895	-1.92677	0	0
AT1G70950	-2.24337	0	-2.68868
AT1G70985	-1.93093	0	0
AT1G70990	3.9623	-11.34013	0
AT1G71030	4.94587333333333	0	2.69306
AT1G71050	-2.19373	2.119	2.16572
AT1G71140	15.7945	-2.9729	25.14967
AT1G71280	-3.41954	0	0
AT1G71380	2.19539	0	-2.04404
AT1G71400	2.88176	0	0
